lca_case_employer_name,total_workers
"MARKIT NORTH AMERICA, INC.",38.0
"MOODY'S ANALYTICS, INC.",38.0
"AIG PC GLOBAL SERVICES, INC.",37.0
"OLIVER WYMAN, INC.",37.0
OPENWAVE COMPUTING LLC,37.0
ST. LUKE'S-ROOSEVELT HOSPITAL CENTER,37.0
ADOBE SYSTEMS INCORPORATED,37.0
"NAGARRO, INC.",37.0
KOHN PEDERSON FOX ASSOCIATES PC,36.0
CPT GLOBAL INC,36.0
MPG OPERATIONS LLC,36.0
"AMERICAN EXPRESS TRAVEL RELATED SERVICES CO., INC.",35.0
"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP",35.0
"DELOITTE TOUCHE TOHMATSU SERVICES, INC.",35.0
CLOUDCREO LLC,35.0
"ZIFF BROTHERS INVESTMENTS, LLC",35.0
CYBERVISION INC,35.0
"BAIN & COMPANY, INC.",34.0
"ORACLE FINANCIAL SERVICES SOFTWARE, INC.",34.0
"TWITTER, INC.",34.0
"FACTSET RESEARCH SYSTEMS, INC.",34.0
"HEXAWARE TECHNOLOGIES, INC.",33.0
UBS SERVICES LLC,33.0
TECH MAHINDRA (AMERICAS) INC.,32.0
"PRIMESOFT, INC",32.0
SINOVISION INCORPORATED,31.0
CAPGEMINI FINANCIAL SERVICES USA INC. (LEGACY KANB,31.0
"GROUP FMG, INC.",31.0
TOWER RESEARCH CAPITAL LLC,31.0
"CMC AMERICAS, INC.",31.0
"SKIDMORE, OWINGS & MERRILL, LLP",30.0
DELOITTE ANALYTICS LLC,30.0
"THORNTON TOMASETTI, INC.",29.0
THE NEW YORK TIMES COMPANY,29.0
"MOODY'S SHARED SERVICES, INC.",29.0
RCM TECHNOLOGIES INC,28.0
FORDHAM UNIVERSITY,28.0
ST. LUKE'S-ROOSELVELT HOSPITAL CENTER,28.0
"THOUGHTWORKS, INC.",28.0
ACTIMIZE INC.,28.0
ABOUT.COM,28.0
SIMPSON THACHER & BARTLETT LLP,27.0
RALPH LAUREN CORPORATION,27.0
ARKRIT LLC,27.0
BLUECREST CAPITAL MANAGEMENT (NEW YORK) LP,26.0
"ECLINICALWORKS, LLC",26.0
THINKNXT LLC,26.0
NEXT MANAGEMENT LLC,26.0
"NYSE MARKET, INC.",26.0
FAREPORTAL INC.,26.0
"EVERYDAY HEALTH MEDIA, LLC",26.0
"CAPITAL IQ, INC.",26.0
VIRTUSA CORPORATION,26.0
"ASIA TV USA, LTD.",25.0
"PHOTON INFOTECH, INC.",25.0
YAHOO! INC.,25.0
"MAJESCOMASTEK INSURANCE SOFTWARE AND SOLUTIONS, IN",25.0
"RAZORFISH, LLC",25.0
GRANT THORNTON LLP,25.0
"MAANTIC, INC.",25.0
CITADEL INFORMATION SERVICES INC.,25.0
"NEW YORK TECHNOLOGY PARTNERS, INC.",24.0
SHEARMAN & STERLING LLP,24.0
"MSCI, INC.",24.0
LAZARD FRERES & CO. LLC,24.0
"COMPUNNEL SOFTWARE GROUP, INC.",24.0
DAVIS POLK & WARDWELL LLP,24.0
SPOTIFY USA INC.,24.0
"EAPT SOLUTIONS, INC.",24.0
"MEDIDATA SOLUTIONS, INC.",23.0
"ORION SYSTEMS INTEGRATORS, INC",23.0
BANK OF CHINA,23.0
"GERSON LEHRMAN GROUP, INC.",23.0
AUSTRALIA AND NEW ZEALAND BANKING GROUP,23.0
VEDICSOFT,23.0
"ADP TECHNOLOGY SERVICES, INC.",23.0
"UMT CONSULTING GROUP, LLC",23.0
PROFESSIONAL ACCESS LTD.,23.0
"TECH MAHINDRA (AMERICAS),INC.",23.0
"IRIS SOFTWARE, INC.",23.0
CYBAGE SOFTWARE INC,22.0
"J. CREW GROUP, INC.",22.0
SATYAM COMPUTER SERVICES LTD,22.0
"CUBIST SYSTEMATIC STRATEGIES, LLC",22.0
THE BLACKSTONE GROUP,22.0
"METLIFE GROUP, INC.",22.0
DIONA TECHNOLOGIES (US) INC,21.0
"CLOUDEEVA, INC",21.0
TD SECURITIES (USA) LLC,21.0
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,21.0
HEWLETT-PACKARD COMPANY,21.0
PARIBAS NORTH AMERICA,21.0
"FUNARO & CO., P.C.",21.0
"COACH, INC.",21.0
"V-SOFT CONSULTING GROUP, INC",21.0
SOCIETE GENERALE,21.0
STANDARD CHARTERED BANK,21.0
"DATA, INC.",21.0
"BYTE CONSULTING, INC.",20.0
"AVNET, INC.",20.0
"DIASPARK, INC.",20.0
ST. MARKS WORLD INC.,20.0
GOLDMAN SACHS SERVICES LLC,20.0
ACTIVE HEALTH MANAGEMENT,20.0
"AKQA, INC.",20.0
JSM CONSULTING,20.0
HOWARD HUGHES MEDICAL INSTITUTE,20.0
NYC-HHC LINCOLN MEDICAL AND MENTAL HEALTH CENTER,20.0
PALANTIR TECHNOLOGIES INC.,20.0
DOW JONES AND COMPANY,20.0
ALFA SERVICES USA INC,20.0
AOL INC.,20.0
INFUSIONDEV LLC,20.0
"AMERICAN SOFTWARE RESOURCES, INC.",20.0
NEW YORK GENOME CENTER INC.,19.0
"VIACOM INTERNATIONAL, INC.",19.0
ROBERT A.M. STERN ARCHITECTS,19.0
"CANTOR FITZGERALD, LP",19.0
THE GUARDIAN LIFE INSURANCE COMPANY OF AMERICA,19.0
"LOGISTIC SOLUTIONS, INC.",19.0
INTERFYSIO LLC,19.0
"TECHNOFINA SERVICES, INC.",19.0
NEW YORK SOCIETY FOR RELIEF OF RUPTURED & CRIPPLED,19.0
MUREX NORTH AMERICA INC.,18.0
ANA-DATA CONSULTING INC,18.0
FINSOFT CONSULTANTS INC.,18.0
DEUTSCHE BANK TRUST COMPANY AMERICAS INC.,18.0
THE BANK OF NEW YORK MELLON,18.0
"AMERICAN EXPRESS TRS, COMPANY INC.",18.0
DEBEVOISE & PLIMPTON LLP,18.0
MOUNT SINAI BETH ISRAEL,18.0
SOFTPATH SYSTEMS INC,18.0
"GCOM SOFTWARE, INC.",18.0
NOMURA HOLDING AMERICA INC.,18.0
T2M CONSULTING SERVICES INC,18.0
THE METROPOLITAN MUSEUM OF ART,17.0
"XAXIS, INC.",17.0
"CITIGROUP TECHNOLOGY, INC.",17.0
"EPAM SYSTEMS, INC",17.0
VST CONSULTING INC,17.0
"KAPLAN TEST PREP (KAPLAN, INC.)",17.0
"NOVUS PARTNERS, INC.",17.0
PUBLICIS KAPLAN THALER,17.0
STATE STREET BANK AND TRUST COMPANY,17.0
NYC-HHC METROPOLITAN HOSPITAL CENTER,17.0
"RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC.",17.0
"NTT DATA, INC.",17.0
"CRAVATH, SWAINE & MOORE LLP",17.0
SIDLEY AUSTIN (US) LLP,17.0
"CA, INC.",17.0
"M2 RESOURCES, INC.",17.0
"BRILLIO, LLC",16.0
"GEMINI CONSULTING & SERVICES, LLC",16.0
"MAIL MEDIA, INC.",16.0
MEDIA PLANNING GROUP USA LLC,16.0
"LEARNINGMATE SOLUTIONS, INC",16.0
DATAFORMIX TECHNOLOGIES INC,16.0
GLOBALTEK SYSTEMS LLC,16.0
BNP PARIBAS NORTH AMERICA,16.0
"LF USA, INC.",16.0
BBDO USA LLC,16.0
"MEDITERRANEAN SHIPPING COMPANY (USA), INC.",16.0
"MEDIAMATH, INC.",16.0
CYBERTHINK INC,16.0
NEUBERGER BERMAN GROUP LLC,16.0
"VITECH SYSTEMS GROUP, INC.",16.0
"PTT, LLC",16.0
INTERACTIVE DATA PRICING & REFERENCE DATA INC.,16.0
"THE CARLYLE GROUP EMPLOYEE COMPANY, LLC",16.0
"MITCHELL/MARTIN, INC.",16.0
FRESHFIELDS BRUCKHAUS DERINGER US LLP,16.0
OVE ARUP & PARTNERS PC,16.0
BLOOMBERG LP,16.0
HCL GLOBAL SYSTEMS INC,16.0
"AECOM TECHNICAL SERVICES, INC.",16.0
"EXUSIA, INC.",15.0
"NBCUNIVERSAL MEDIA, LLC",15.0
3EDGEUSAGROUP LLC,15.0
"J.T. MAGEN & COMPANY, INC.",15.0
"TRIANZ CONSULTING, INC.",15.0
NATIONAL UNION FIRE INSURANCE COMPANY OF PITTSBURG,15.0
CAPGEMINI U.S. LLC,15.0
WAVE ERA INC,15.0
BNP PARIBAS,15.0
"CISCO SYSTEMS, INC.",15.0
SLALOM LLC,15.0
WUNDERMAN WORLDWIDE LLC,15.0
"MORGAN STANLEY INVESTMENT MANAGEMENT, INC.",15.0
WORLD ECONOMIC FORUM USA INC.,15.0
ELC MANAGEMENT LLC,15.0
DELOITTE &TOUCHE LLP,15.0
MORTGAGE INDUSTRY ADVISORY CORP.,15.0
DELOITTE SERVICES LP,15.0
DELOITTE CORPORATE FINANCE LLC,15.0
ADVANCE MAGAZINE PUBLISHERS INC. DBA CONDÄ NAST,15.0
ZYLOG SYSTEMS LIMITED,15.0
APPNEXUS,15.0
MICROSOFT CORPORATION,15.0
"MARKITSERV, LLC",15.0
YESHIVA UNIVERSITY,14.0
"GLOBAL DATA MART, INC",14.0
