lca_case_employer_name,total_workers
SHANTEX GROUP LLC,2.0
"GREENHILL & CO., LLC",2.0
"SKIDMORE, OWINGS & MERRILL LLP",2.0
SOFTPATH SYSTEM LLC,2.0
"SHINHAN BANK AMERICA, INC.",2.0
SHAREABLEE INC,2.0
HEMANT PATEL MD PC,2.0
NEW YORK FILM ACADEMY LTD.,2.0
"OAKTREE CAPITAL MANAGEMENT, L.P.",2.0
OBRA ARCHITECTS,2.0
"HEYKOREAN, INC.",2.0
HIGH UNITED INC,2.0
"HFZ REAL ESTATE DEVELOPMENT ASSOCIATES, LLC.",2.0
MKVF MANAGEMENT COMPANY LLC,2.0
GREAT FAME MANAGEMENT USA INC.,2.0
"GREENBYTE TECHNOLOGIES, LLC",2.0
MLA TECHNOLOGY GROUP CORP,2.0
"MLB ADVANCED MEDIA, L.P.",2.0
"OBJECT FRONTIER, INC.",2.0
"PETER SOM, INC.",2.0
OASIS IT CORP,2.0
"SHANG MAGAZINE, INC.",2.0
MMG PARTNERS LLC,2.0
"MNCL, INC.",2.0
MOAT INC,2.0
PETER PRAN + H ARCHITECTS LLC,2.0
PETER MILLAR LLC,2.0
SHANGHAI COMMERCIAL BANK LTD.,2.0
PETER MARINO ARCHITECT PLLC,2.0
"NVE, INC",2.0
MOTT STREET OPTICAL,2.0
HAUTE BY BLAIR STANLEY LLC,2.0
MYCROFT INC.,2.0
NOOKA INC.,2.0
SILKY NYC CORP,2.0
SIRITEK INC,2.0
PANTASCENE LLC,2.0
PANTAR SOLUTIONS INC,2.0
"H.C. WAINWRIGHT & CO., LLC",2.0
SILVER LINING LTD. USA,2.0
"NARATIV, INC.",2.0
NARCISO RODRIGUEZ LLC,2.0
NARTAL SYSTEMS INC,2.0
"SILVERSTEIN PROPERTIES, INC.",2.0
NEZU ASIA CAPITAL MANAGEMENT LLC,2.0
NATION ONLINE INC.,2.0
"NATION ONLINE, INC",2.0
"SIMCO ENGINEERING, P.C.",2.0
GRAND INTERNATIONAL ECONOMY AND TRADE INC,2.0
PAMPELONNE LLC,2.0
NOMORERACK COM INC,2.0
"OPENX TECHNOLOGIES, INC.",2.0
"OUTSOURCED AD OPS, LLC",2.0
PAPERLESS INC.,2.0
OPTIMAL SOLUTIONS INTEGRATION INC.,2.0
NAGASHIMA OHNO & TSUNEMATSU NY LLP,2.0
"MZHCI, LLC",2.0
"OPEN X TECHNOLOGIES, INC.",2.0
NETSUITE INC.,2.0
"NEXTSOCIETY, INC.",2.0
NEXTXAP INC.,2.0
"N-TIER SOLUTIONS, INC.",2.0
N.E.E. CONSULTING LTD,2.0
"NADINE JOHNSON & ASSOCIATES, INC",2.0
"SKIVA INTERNATIONAL, INC.",2.0
"NANAIMO STUDIO, LLC",2.0
NAKED NEW YORK LLC,2.0
"GROUPM WORLDWIDE, INC.",2.0
HABIB AMERICAN BANK,2.0
H3 HARDY COLLABORATION ARCHITECTURE LLC,2.0
"NAM INFO, INC.",2.0
"GOLDMAN SACHS EXECUTION & CLEARING, L.P.",2.0
SILICON BADIA GLOBAL PARTNERS LLC,2.0
OPENING CEREMONY ONLINE LLC,2.0
NATIONAL FOOTBALL LEAGUE,2.0
"NATIONAL URBAN TECHNOLOGY CENTER, INC.",2.0
NATIONSWELL LLC,2.0
GSIP HOLDINGS INC,2.0
"NCE REALTY & CAPITAL GROUP, LLC",2.0
GOULD PAPER CORPORATION,2.0
"OPERATIVE MEDIA, INC.",2.0
"GUARD INSURANCE GROUP, INC.",2.0
"GTS SECURITIES, LLC",2.0
"NINAH CONSULTING, LTD.",2.0
GQR CORPORATION,2.0
PACE GALLERY LLC,2.0
PACE ENGINEERING P.C.,2.0
"P3 ANALYTICS, INC.",2.0
NIMBO TECHNOLOGIES INC.,2.0
"GSI INTERACTIVE, INC.",2.0
GPH MANAGEMENT LLC,2.0
"NIKKEI AMERICA, INC.",2.0
NICOSIA CREATIVE EXPRESSO LTD.,2.0
"NELSON BYRD WOLTZ LANDSCAPE ARCHITECTS, PLLC",2.0
NGK GLOBAL LLC,2.0
P3 INTERNATIONAL CORP.,2.0
"NIVASOFT, INC",2.0
"NIXSOL, INC",2.0
GOLF & WROBLESKI CPAS LLP,2.0
GRAMERCY SURGERY CENTER INC,2.0
"NGA GROUP, INC.",2.0
"GUNIT FASHIONS, INC",2.0
NOMAD INDUSTRIES INC,2.0
GUNDERSON DETTMER STOUGH VILLENEUVE FRANKLIN & HAC,2.0
NATURAL RESOURCE GOVERNANCE INSTITUTE,2.0
PACIFIC INVESTMENT MANAGEMENT COMPANY (PIMCO),2.0
"SIMPLEREACH, INC.",2.0
SLADE ARCHITECTURE PLLC,2.0
"NGDATA US, INC.",2.0
"P&C INSURANCE SYSTEMS, INC",2.0
"GUGGENHEIM FUND SOLUTIONS, LLC",2.0
"NOBLE CONSULTING GROUP, LLC.",2.0
"NOBEL, INC.",2.0
"NAVISITE, INC.",2.0
"OWNESS, INC.",2.0
NBA PROPERTIES INC.,2.0
"NC TRANSACTION, INC.",2.0
"P DEVOS DESIGNS, INC.",2.0
MYRIAD SUPPLY COMPANY LLC,2.0
HAILO NETWORK USA INC.,2.0
GRAVITY MEDIA LLC,2.0
NORTHWEST EVALUATION ASSOCIATION,2.0
"SHIVANI GEMS, INC.",2.0
"HARRISON & STAR, LLC",2.0
PAYONEER INC.,2.0
MOVING PICTURE INSTITUTE,2.0
"NEW ENGLAND IT ASSOCIATES, INC",2.0
"PAULSON & CO., INC.",2.0
"NEW ENGINEERING UNIVERSITY, INC",2.0
"MPOWERD, INC.",2.0
SHOW OF FORCE LLC,2.0
MPOWERTECH INC.,2.0
GRASSHOPER PILATES DOWNTOWN INC,2.0
"SHOW OF FORCE, LLC",2.0
GROHE AMERICA INC.,2.0
NEW AUDIO LLC,2.0
"GLOBALPOINT, INC.",2.0
"GROHE AMERICA, INC.",2.0
MRPT PHYSICAL THERAPY LLC,2.0
"NTT DATA, INC. (FORMERLY KEANE INC.)",2.0
"PAUL, WEISS, RIFKIND, WHARTON & GARRISON, LLP",2.0
"OOVOO, LLC",2.0
"GLOBAL TECHNICAL SOFTWARE SERVICES, INC.",2.0
GLOBAL TECHNICAL SOFTWARE SERVICES INC,2.0
PEARL GLOBAL INDUSTRIES LIMITED,2.0
MOSCOT MANAGEMENT CORPORATION,2.0
PEDDLER COFFEE,2.0
SMOKE & MIRRORS PRODUCTION LTD.,2.0
PEATIX INC.,2.0
"ORANGE INTERNATIONAL, INC.",2.0
"ONSITE NEONATAL, P.C.",2.0
GS 4 YOU INC,2.0
PEARLFISHER INC.,2.0
NUVOLO TECHNOLOGIES CORPORATION,2.0
"HARVEY NASH, INC.",2.0
GLOBAL PHARMATEK LLC,2.0
HASTINGS FUND MANAGEMENT,2.0
GRIMSHAW ARCHITECTS P.C.,2.0
"SMC INTERNATIONAL GROUP, LTD.",2.0
NUEVA SOLUTIONS INC.,2.0
"SMBC CAPITAL MARKETS, INC.",2.0
GRAVITAS TECHNOLOGY SERVICES LLC,2.0
SMARTSTREAM TECHNOLOGIES INC.,2.0
"HARCO CONSTRUCTION, LLC",2.0
"NTT DATA ENTERPRISE SERVICES, INC",2.0
"PAUL KASMIN GALLERY, INC.",2.0
NEVERSTOP USA LLC,2.0
SID LEE USA INC,2.0
OTIS IT INC,2.0
GMA ACCESSORIES INC.,2.0
"NOTATIONS, INC.",2.0
"SMART VISION LABS, INC.",2.0
"GODIVA CHOCOLATIER, INC.",2.0
"MULTIPLAN, INC.",2.0
"HANDELSBANKEN MARKETS SECURITIES, INC.",2.0
MUNICIPAL CREDIT UNION,2.0
GLUCKMAN MAYNER ARCHITECTS,2.0
"PARTER INTERNATIONAL, INC.",2.0
"PARRUT, INC.",2.0
"OUR PLANET MANAGEMENT INSTITUTE, LTD",2.0
OUTBRAIN INC.,2.0
SLIGHT EDGE SOLUTIONS INC.,2.0
PARIGI GROUP LTD.,2.0
"HAKS ENGINEERS, ARCHITECTS & LAND SURVEYORS PC",2.0
NORTHWOOD SECURITIES LLC,2.0
HANLEY MELLON LLC,2.0
NEW AMSTERDAM FENCING ACADEMY LLC,2.0
"MSLGROUP AMERICAS, INC.",2.0
PAUL BARNETT INC,2.0
"SI ENGINEERING, PC",2.0
"NEWSGATOR TECHNOLOGIES, INC.",2.0
"MSRCOSMOS, LLC",2.0
"GROK, LLC",2.0
"SISENSE, INC.",2.0
OTC INC. D/B/A/ OTC FIN,2.0
GLOBUS IT INCORPORATED,2.0
SI PRO CONSULTING LLC,2.0
NOVO NYC LLC,2.0
"NEXOS CAPITAL PARTNERS, LLC",2.0
MU SIGMA INC,2.0
NEW YORK HOTEL & MOTEL TRADES COUNCIL,2.0
SICHENZIA ROSS FRIEDMAN FERENCE LLP,2.0
"NOVISYNC SOLUTIONS, INC.",2.0
"MUDRICK CAPITAL MANAGEMENT, LP",2.0
"NOVEN PHARMACEUTICALS, INC.",2.0
ORA MEDIA LLC,2.0
NOUS INFOSYSTEMS PVT. LTD.,2.0
"HANSEN TECHNOLOGIES NORTH AMERICA, INC.",2.0
"RICHARD A. BAQUERO INTERIOR DESIGN, INC.",2.0
HL GROUP PARTNERS LLC,2.0
"IQ SYSTEMS, INC.",2.0
"ISI-DENTSU OF AMERICA, INC.",2.0
LAW OFFICES OF OLIVER ZHOU,2.0
LAW OFFICES OF YEO YOON,2.0
"RSE ASSOCIATES, INC.",2.0
LAZOO WORLDWIDE INC.,2.0
"RTW INVESTMENTS, LLC",2.0
RAJEEV AGGARWAL CPA,2.0
RAISON PURE INTERNATIONAL INC,2.0
"RUANE, CUNNIFF & GOLDFARB, INC.",2.0
LEAD IT CORPORATION,2.0
"RAINFOREST ALLIANCE, INC.",2.0
LEADERSHIP VILLAGE ACADEMY CHARTER,2.0
"LEBENTHAL WEALTH ADVISORS, LLC",2.0
"IPSOS-INSIGHT, LLC",2.0
RREEF MANAGEMENT LLC,2.0
"LEE EQUITY PARTNERS, LLC",2.0
"LEE LITIGATION GROUP, PLLC",2.0
"RAFFERTY ASSET MANAGEMENT, LLC",2.0
RULE FINANCIAL LLC,2.0
RUSSIAN-AMERICAN CONSULTING CORP.,2.0
RADIUS GMR LLC,2.0
LEMONADE CREATIVE LLC,2.0
LENNYS GROUP LLC,2.0
"INVNT, LLC",2.0
INVESTOR ANALYTICS LLC,2.0
RXMEDICAL DYNAMICS LLC,2.0
"INVESTCORP INTERNATIONAL, INC.",2.0
"R3 TECHNOLOGY, INC",2.0
LAW OFFICES OF JUN WANG,2.0
ISRAM WHOLESALE TOURS AND TRAVEL LTD.,2.0
"IVORY SYSTEMS, INC.",2.0
ITAU BBA USA SECURITIES INC.,2.0
"LABELIUM USA, LLC.",2.0
LABELUX GROUP AMERICAS INC,2.0
"ROTH CAPITAL PARTNERS, LLC",2.0
RD HOLDINGS NY LLC,2.0
"RCG GLOBAL SERVICES, INC.",2.0
"RBSD ARCHITECTS, PC.",2.0
LAKHANI & JORDAN ENGINEERS,2.0
ROTTET STUDIO LLC,2.0
LALIBELO LTD.,2.0
"LANDRUM & BROWN, INC.",2.0
LANGAN D.P.C.,2.0
RATP DEV USA LLC,2.0
LAR NY LLC,2.0
"ROUNDCORNER, INC",2.0
"1 MODEL MANAGEMENT, LLC",2.0
ROX GALLERY LLC,2.0
IT KEYSOURCE INC,2.0
RAPP WB LLC,2.0
LATOUR TRADING LLC,2.0
"LAURA TORRADO, DDS PC",2.0
ROY TALMAN & ASSOCIATES INC.,2.0
"IT CONSULTING SERVICES, INC.",2.0
"IT CATS, LLC",2.0
LAURION CAPITAL MANAGEMENT LP,2.0
LAW OFFICE OF CHARLES JASON LORE,2.0
LAW OFFICE OF KENT GUBRUD PC,2.0
"LAW OFFICES OF COREY T. LEE, PLLC.",2.0
"LAW OFFICES OF EDWARD M. ROSENSTEEL, P.C.",2.0
"INVESCO GROUP SERVICES, INC.",2.0
"LEON ZOLAND AND SON, INC.",2.0
"RYAN AND CONLON, LLP",2.0
"SAATCHI & SAATCHI X, INC.",2.0
"INTERNATIONAL LEGAL AND BUSINESS SERVICES GROUP, L",2.0
S.C.B. DERIVATIVES LLC,2.0
LIVE STUDIOS INC.,2.0
"QUAD CAPITAL, LLC",2.0
"LIVEPERSON, INC.",2.0
S.VINODKUMAR USA INC,2.0
QS INVESTORS HOLDINGS LLC,2.0
QC STAFFING LLC,2.0
S9 ARCHITECTURE & ENGINEERING PC,2.0
QBE AMERICAS INC.,2.0
INTERNATIONAL AIDS VACCINE INITIATIVE (IAVI),2.0
LLOYDS TSB BANK PLC,2.0
LOANZON LLP,2.0
"INTERNATIONAL ACADEMIC ALLIANCE, INC.",2.0
"S & C INTERNATIONAL, INC.",2.0
QANTAS AIRWAYS LIMITED,2.0
INTERMEDIA ADVISORS LLC,2.0
"INTERMARKET APPAREL, LLC",2.0
"INTERLUDE US, INC.",2.0
LODESTAR SYSTEMS INC,2.0
Q4 SYSTEMS CORPORATION,2.0
"INTERGUARD, LTD.",2.0
Q4 DESIGNS LLC.,2.0
"INTERESSE INTERNATIONAL, INC.",2.0
INTERESSE INTERNATIONAL INC.,2.0
INTERCEPT INTERACTIVE,2.0
"PYRAMID TECHNOLOGY SOLUTIONS, INC.",2.0
"SABA CAPITAL MANAGEMENT, L.P.",2.0
INTERNATIONAL PEACE INSTITUTE,2.0
"S. ROTHSCHILD & CO., INC.",2.0
LITTLE RED SCHOOL HOUSE & ELISABETH IRWIN HIGH SCH,2.0
LISA INTERNATIONAL INC,2.0
"R. G. NIEDERHOFFER CAPITAL MANAGEMENT, INC.",2.0
"S CUBE SOFT, INC.",2.0
"R&R SYSTEMS, INC.",2.0
INTL FCSTONE INC,2.0
"LEVINE SULLIVAN KOCH & SCHULZ, LLP",2.0
"R AND S COMPUTERS, INC.",2.0
"LF OUTERWEAR, LLC.",2.0
LFG AMERICA PTY LIMITED,2.0
LI & FUNG LTD.,2.0
LIBBY MANAGEMENTSERVICES CORP.,2.0
LIBERTAD PRODUCTIONS LLC,2.0
"LIBRA CAPITAL US, INC.",2.0
"QUINN EMANUEL URQUHART &AMP; SULLIVAN, LLP",2.0
LIBSYS INC,2.0
"S PLUS, INC.",2.0
INTERTRUST CORPORATE SERVICES DELAWARE LTD,2.0
"S&C INTERNATIONAL, INC.",2.0
"S&H NORTH AMERICA, INC.",2.0
"INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",2.0
LINDSEY THORNBURG LTD,2.0
QUANTHOUSE INC.,2.0
LIONS MODEL MANAGEMENT,2.0
"INTERNATIONAL SOLUTIONS GROUP, INC.",2.0
QUANTCAST CORPORATION,2.0
"LIQUIDHUB, INC.",2.0
"LIQUIDNET HOLDINGS, INC.",2.0
S. GOVER & COMPANY CPA'S PLLC,2.0
"LA PRAIRIE, INC.",2.0
"L2, INC",2.0
"HLR PARTNERS, INC",2.0
JETT CAPITAL ADVISORS HOLDING LLC,2.0
"RIVIERA COMMODITIES, LLC",2.0
KASE USA INC.,2.0
RESERVOIR OPERATIONS LP,2.0
RESEARCH FOUNDATION OF SUNY - COLLEGE OF OPTOMETRY,2.0
"JJ PATTERN, INC",2.0
"KC2, INC.",2.0
"JINNO INTERNATIONAL USA, LLC",2.0
ROANNE ADAMS DESIGN,2.0
REPRESENTATIVE OFFICE OF GIC PTE. LTD.,2.0
"ROBBIE BEE DIVISION OF FYC APPAREL GROUP, LLC.",2.0
"KEEP HOLDINGS, INC.",2.0
ROBERT BURKE ASSOCIATES INC,2.0
JG ARCHITECTS PLLC,2.0
"ROBERT GRAHAM DESIGNS, LLC",2.0
RESOLUTE POST LLC,2.0
KEPLER CANNON,2.0
ROBERT HALF INTERNATIONAL INC.,2.0
KEPOS CAPITAL LP,2.0
JENNIFER FISHERMAN RUFF,2.0
"RENAL RESEARCH INSTITUTE LLC, A FRESENIUS MEDICAL",2.0
"KERSHNER TRADING GROUP, LLC",2.0
"JENNAN COMPREHENSIVE MEDICAL, P.C.",2.0
"KETCHUP, INC.",2.0
KEYSTONE STRATEGY LLC,2.0
"ROBERT WALTERS ASSOCIATES, INC.",2.0
KF LITERARY SCOUTING LLC,2.0
JEFFREY A MARGOLIS,2.0
RELYCOM INC.,2.0
"JOHN HENRY HOLDINGS, INC.",2.0
JOHN LAING (USA) LIMITED,2.0
"IVYCONNECT, INC.",2.0
RHODE NYC LLC,2.0
RICE AND DORE ASSOCIATES INC.,2.0
"RICHEMONT NORTH AMERICA, INC.",2.0
JT MAGEN AND COMPANY INC,2.0
"RICHLINE GROUP, INC.",2.0
JUAN MONTOYA DESIGN CORP.,2.0
RIGAS TECHNOLOGIES INC.,2.0
JUBU CORP.,2.0
"JOTO SAKE, LLC",2.0
JULIEN FAREL PRODUCTS INTERNATIONAL LLC,2.0
"RIOT GAMES, INC.",2.0
JUN HE LAW OFFICES LLC,2.0
"JUN WANG & ASSOCIATES, P.C.",2.0
JUNO INVESTMENT & MANAGEMENT INC.,2.0
JOOR INC.,2.0
RESOLUTION MEDIA INC.,2.0
JONES O'DONAHUE LLC,2.0
JUST ONE LLC,2.0
REVEREIT LLC,2.0
KA-SAPSOLUTIONS INC,2.0
"JONES JEANSWEAR GROUP, INC.",2.0
"KADMON CORPORATION, LLC",2.0
KALTURA INC.,2.0
KALVEN TECHNOLOGIES INC,2.0
RETRY LLC,2.0
"RETAIL GROUP OF AMERICA, LLC",2.0
"JOLLY TINKER, INC.",2.0
"RITE-HIRE, LLC",2.0
KANG GLOBAL INVESTORS LP,2.0
KGK JEWELRY LLC,2.0
RELIANCE GLOBAL SERVICES INC.,2.0
"RELEX PERFORMANCE RESOURCES, INC.",2.0
J. QUEEN NEW YORK INC.,2.0
KRIPI INC,2.0
"KROLL BOND RATING AGENCY, INC.",2.0
"KRONSYS, INC.",2.0
"J.W. MANNY, INC.",2.0
"KT GROUP, INC.",2.0
KUGLER NING LIGHTING DESIGN INC,2.0
REBECCA MINKOFF LLC,2.0
REAVIS PARENT LEHRER LLP,2.0
KURTOSYS SYSTEMS INC.,2.0
J. WALTER THOMPSON USA INC.,2.0
"REAL-TIME SPORTS, INC.",2.0
"REAL GEMS, INC.",2.0
J. WALTER THOMPSON U.S.A. INC.,2.0
"L & K PARTNERS, INC.",2.0
"KIM, SONG & ASSOCIATES, PLLC.",2.0
"ROSEN PARTNERS, LLC",2.0
"J. GOLDMAN & CO., L.P.",2.0
"L BRANDS SERVICE COMPANY, LLC",2.0
"REAL ESTATE ARTS, INC.",2.0
J. CREW GROUP INC.,2.0
J. ARON & COMPANY,2.0
"J-BLATT, INC.",2.0
"REAL CAPITAL ANALYTICS, INC.",2.0
"READY ANALYTICS, INC.",2.0
"L-R MANAGERS, LLC",2.0
L.E.FT LLC,2.0
"IVYWISE, LLC",2.0
"L18 HOLDINGS, INC. & SUBSIDIARIES LOT 18 INC.",2.0
KRAMER LEVIN NAFTALIS & FRANKEL LLP,2.0
"KRAJ FOODS, INC",2.0
JACK SCHWARTZ SHOES INC,2.0
"KPF CONSULTING, LLC",2.0
"JEFFERIES & CO., INC.",2.0
"KING ROSE OF NY, INC.",2.0
"ROBOTTI & COMPANY, INCORPORATED",2.0
"ROCKET FUEL, INC.",2.0
"KINSA, INC.",2.0
KK METAMEDIA LLC,2.0
KL PROJECTS,2.0
"JANE CHIONG, CPA P.C.",2.0
"JAMES WAGMAN ARCHITECT, LLC",2.0
REED EXHIBITIONS,2.0
REDWORKS INC.,2.0
KNIGHTS INVESTMENT GROUP,2.0
KNOWITOWL INC.,2.0
ROGERS ARCHITECTS PLLC,2.0
"KNOZEN, INC.",2.0
JAKLITSCH GARDNER ARCHITECTS PC,2.0
JAKLITSCH / GARDNER ARCHITECTS PC,2.0
ROKT CORP,2.0
"KONG ABSTRACT CO., LLC",2.0
KORA LLC,2.0
KORANGY PUBLISHING INC,2.0
JAGUAR GROWTH PARTNERS LLC,2.0
KORN/FERRY INTERNATIONAL,2.0
"JAG MODELS, INC.",2.0
"RONIN CAPITAL, LLC",2.0
ROOM 106 LLC,2.0
"JACOBS CIVIL CONSULTANTS, INC.",2.0
"LONE STAR AMERICAS ACQUISITIONS, LLC",2.0
LONG TAIL AD SOLUTIONS INC,2.0
"LONGTAIL STUDIOS, INC.",2.0
PORTIGON AG,2.0
"MCGI TEC, INC.",2.0
"IDEALIZE, INC.",2.0
"PPM AMERICA, INC.",2.0
SCHWARTZ LLC,2.0
ICSA INC,2.0
MCGUIREWOODS LLP,2.0
ICONTENT INC,2.0
MCNALLY ROBINSON BOOKSELLERS,2.0
SCOPUS IT,2.0
"MD GLOBAL PARTNERS, LLC",2.0
ICONIFY LLC,2.0
"ICON INVESTMENT GROUP, LLC",2.0
SCORE MOBILE INC.,2.0
"ICF SH&E, INC.",2.0
SCHUMAN LICHTENSTEIN CLAMAN EFRON ARCHITECTS,2.0
"MEDIABRANDS WORLDWIDE, INC.",2.0
"ICF INCORPORATED, LLC",2.0
"ICE FARM ADVISORS, LP",2.0
"MEDIALETS, INC.",2.0
MEDICAL BROADCASTING LLC D/B/A DIGITAS HEALTH,2.0
"SCRIPPS NETWORKS, LLC",2.0
MEDICAL DYNAMIC SYSTEMS INC.,2.0
"IBINVESTOR, INC.",2.0
POND5 INC.,2.0
MEDIVO INC.,2.0
"I2SOLVERS, INC.",2.0
SDIL INC.,2.0
I-LINK SOLUTIONS INC.,2.0
PR NEWSWIRE ASSOCIATION LLC,2.0
MCDERMOTT WILL & EMERY LLP,2.0
"LOOP NYC DIGITAL, INC.",2.0
"SCALED AGILE, INC.",2.0
"SAVEN TECHNOLOGIES, INC",2.0
MASLANSKY LUNTZ PLUS PARTNERS LLC,2.0
"IMENTOR, INC.",2.0
IMCLONE SYSTEMS LLC,2.0
SAVVY INFO SYSTEMS INC,2.0
"IMAGO SALES USA, INC.",2.0
IMAGINEER TECHNOLOGY GROUP LLC,2.0
"MASTEREX TECHNOLOGIES, INC.",2.0
IMAGINE SWIMMING INC.,2.0
"MATA MANAGEMENT, INC.",2.0
SBASE TECHNOLOGIES INC,2.0
"MATCHMAKING PRO, INC.",2.0
SBH FASHION,2.0
ILEVEL SOLUTIONS,2.0
"IDENTROPY, INC.",2.0
"MAX CONSULTING GROUP, INC.",2.0
IL POSTO LLC,2.0
PRECISION EFFORTS INCORPORATED,2.0
SCENTRE INC,2.0
IGAVEL INC.,2.0
"MAXIFIER, INC.",2.0
MAXUS COMMUNICATIONS LLC,2.0
"MAXYMISER, INC.",2.0
"IDHASOFT, INC.",2.0
MC UNITED INT'L TEXTILE INC.,2.0
MC UNITED INTERNATIONAL TEXTILE INC,2.0
MC2 MODEL MANAGEMENT LLC,2.0
"MCCANN RELATIONSHIP MARKETING, INC.",2.0
"MEGA SHIPPING & FORWARDING, LTD.",2.0
"SDL TRIDION, INC.",2.0
SEA NEW YORK INC.,2.0
PINCHME GROUP INC.,2.0
"MICHAEL SIMON, INC.",2.0
"HOUSE OF CODE, INC.",2.0
PIONEER CONSULTING SERVICES LLC,2.0
PINEBRIDGE INVESTMENTS LLC,2.0
"SELLDORF ARCHITECTS, LLC",2.0
"SEMSEM, LLC",2.0
MICROSTRATEGY SERVICES CORPORATION,2.0
"MIDAMERICA PRODUCTIONS, INC.",2.0
"SENZARI, INC.",2.0
"MIDTOWN PARTNERS & CO., LLC",2.0
"MIK GROUP, INC.",2.0
MIKA ACCESSORIES INC.,2.0
"MILBANK, TWEED, HADLEY & MCCLOY LLP",2.0
SERINO COYNE LLC,2.0
HYPERMEDIA SOLUTIONS LLC,2.0
PILATES ON 66 LTD,2.0
SERVAL POLITICAL ANALYSIS LLC,2.0
PHYSICIANS FOR HUMAN RIGHTS,2.0
"MILLIORE FASHION, INC.",2.0
MILLWARD BROWN INC.,2.0
"HOLSTED MARKETING, INC.",2.0
"PHYSICIAN AFFILIATE GROUP OF NEW YORK, P.C. (PAGNY",2.0
HOLLAND & KNIGHT LLP,2.0
MINDSHARE USA LLC,2.0
"PHYCARE SOLUTIONS, INC.",2.0
"PHT LIGHTING DESIGN, INC.",2.0
"MINDTHEGAP, LLC",2.0
"SEVEN EIGHT CAPITAL, LLC.",2.0
HOWARD HUGHES MANAGEMENT CO LLC,2.0
"MICHAEL ARAM, INC.",2.0
"PLACE VENDOME HOLDING CO., INC.",2.0
HP INFOSYSTEMS LLC,2.0
HYKOO INC,2.0
POLAR IT SERVICES INC,2.0
"MENTAL CANVAS, LLC",2.0
"MERCER INVESTMENT CONSULTING, INC.",2.0
MERCURY SYSTEMS INC.,2.0
"SEAVUS USA, INC.",2.0
"MERIDIAN DESIGN ASSOCIATES, ARCHITECTS P.C.",2.0
MERIDIAN INFOTECH INC,2.0
"HUGO BOSS FASHIONS, INC.",2.0
"PLAY RUGBY, INC.",2.0
HUGHES HUBBARD & REED LLP,2.0
HUDSON RIVER TRADING LLC,2.0
"PLAY RUGBY, INC",2.0
"HUDSON GLOBAL RESOURCES MANAGEMENT, INC.",2.0
HUDSON FURNITURE INC.,2.0
"HUDSON BAY CAPITAL MANAGEMENT, LP",2.0
SECURITIES INDUSTRY AUTOMATION CORPORATION,2.0
PLATINUM RYE LLC,2.0
PLATINUM MANAGEMENT (NY) LLC,2.0
"METHOD, INC.",2.0
SECURITY COUNCIL REPORT,2.0
METRO COMPUER SERVICES GROUP INC.,2.0
PLATINUM MAINTENANCE SERVICES CORPORATION,2.0
"PLASMANET, INC.",2.0
HSBC GLOBAL ASSET MANAGEMENT (USA) INC.,2.0
METROPOLITAN MUSEUM OF ART,2.0
"PLANCK, LLC",2.0
"IMOWITZ KOENIG & CO., LLP",2.0
"MARTYN THOMPSON PHOTOGRAPHY, LLC",2.0
"PRESS HERE PUBLICITY, LLC",2.0
MADISON MARCUS INC.,2.0
PROSOFT TECHNOLOGIES INC,2.0
M.Y.R.A. ENTERTAINMENT LLC,2.0
INSTITUTE FOR DEMOCRACY AND COOPERATION,2.0
PROSOFT ASSOCIATES,2.0
INSTICATOR INC.,2.0
MACE NORTH AMERICA LIMITED,2.0
MACQUARIE FUNDING HOLDINGS INC.,2.0
PROPHET BRAND STRATEGY INC.,2.0
"PROPHASE TRAINING GROUP, LLC",2.0
"MADGAMR, INC.",2.0
"MADISON BRANDS, INC.",2.0
"INSIGHT CATASTROPHE MANAGERS, LLC",2.0
INSIDE US LLC,2.0
INSIDE SALES SOLUTIONS INC,2.0
"INNER VIEW, INC.",2.0
"PROMONTORY FINANCIAL GROUP, LLC",2.0
"SAM BROCATO COMPANIES, INC.",2.0
"MAESA, LLC",2.0
"MAESTRO TECHNOLOGIES,INC",2.0
SAMOO ARCHITECTURE PC,2.0
INNOVATIVE NETWORK SOLUTIONS,2.0
"MAGNETIC MEDIA ONLINE, INC.",2.0
MAGNETIQUE,2.0
MAGNUSSON ARCHITECTURE & PLANNING PC,2.0
"INNOVATIVE HOSPITALITY CONCEPTS, LLC",2.0
"MAILIN MIMI LAI, D.D.S., P.C.",2.0
PROJECT HEALTHY LIVING INC.,2.0
"SAMUEL A. RAMIREZ & COMPANY, INC.",2.0
SAITO & SORENSON LLP,2.0
M&C SAATCHI NY LLP,2.0
M WEBB LLC,2.0
"PROSPECT CAPITAL MANAGEMENT, LLC",2.0
"INTERACTIVE DATA PRICING & REFERENCE DATA, INC.",2.0
"SAFARI SUNDAYS, INC.",2.0
LORHAN CORPORATION INC,2.0
LOT-EK ARCHITECTURE + DESIGN,2.0
PUPPY LOFT INC,2.0
PULSD INC.,2.0
LU JIN FASHION INC.,2.0
"PUBLIC ART FUND, INC.",2.0
"LUCERNA, INC.",2.0
"LUCID TECHNOLOGIES, INC",2.0
PTC INC.,2.0
"LUCY HARRIS STUDIO, LLC",2.0
LUERZER'S ARCHIVE USA INC.,2.0
SAHASRA TECHNOLOGIES CORPORATION,2.0
LULILIFE LLC,2.0
